File|Event|Error_Path|Error
./Data/events.2022.03.30-13.48.39.json|PasswordChange|NaN|ValidEvent
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit']|Additional properties are not allowed ('AffectedImmutableUserId' was unexpected)
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit', 'Attribute']|'hidden' is not one of ['NameOnAccount', 'ContactAddress', 'ContactPhoneNumber', 'ContactEMail', 'Limit', 'Permission', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit', 'DisplayInformation']|None is not of type 'string'
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit', 'RetailSession', 'UTCTimestamp']|'2022-02-14T19:31:10.757206Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit', 'Type']|None is not of type 'string'
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit', 'Type']|None is not one of ['Brokerage', 'Checking', 'Credit Card', 'Loan', 'Retirement', 'Money Market', 'Saving', 'Certificate of Deposit', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit']|'AffectedImmutableUserID' is a required property
./Data/events.2022.03.30-13.48.39.json|ReportView|['GAEvent', 'ReportView', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ReportView|['GAEvent', 'ReportView', 'RetailSession', 'UTCTimestamp']|'2022-02-14T21:31:22.808135Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|ReportView|['GAEvent', 'ReportView']|'Name' is a required property
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit']|Additional properties are not allowed ('AffectedImmutableUserId' was unexpected)
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit', 'Attribute']|'nickname' is not one of ['NameOnAccount', 'ContactAddress', 'ContactPhoneNumber', 'ContactEMail', 'Limit', 'Permission', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit', 'DisplayInformation']|None is not of type 'string'
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit', 'RetailSession', 'UTCTimestamp']|'2022-02-14T19:31:02.131381Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit', 'Type']|None is not of type 'string'
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit', 'Type']|None is not one of ['Brokerage', 'Checking', 'Credit Card', 'Loan', 'Retirement', 'Money Market', 'Saving', 'Certificate of Deposit', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|AccountEdit|['GAEvent', 'AccountEdit']|'AffectedImmutableUserID' is a required property
./Data/events.2022.03.30-13.48.39.json|PasswordChange|['GAEvent', 'PasswordChange', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|PasswordChange|['GAEvent', 'PasswordChange', 'PasswordChangeReason']|'Admin Initiated' is not one of ['Forgotten', 'AdminReset', 'UserInitiated', 'Expired', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|PasswordChange|['GAEvent', 'PasswordChange', 'RetailSession', 'UTCTimestamp']|'2021-12-17T20:31:24.575436Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|PasswordChange|['GAEvent', 'PasswordChange', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|PasswordChange|['GAEvent', 'PasswordChange', 'PasswordChangeReason']|'Admin Initiated' is not one of ['Forgotten', 'AdminReset', 'UserInitiated', 'Expired', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|PasswordChange|['GAEvent', 'PasswordChange', 'RetailSession', 'ImmutableUserID']|None is not of type 'string'
./Data/events.2022.03.30-13.48.39.json|PasswordChange|['GAEvent', 'PasswordChange', 'RetailSession', 'UTCTimestamp']|'2021-12-17T20:31:24.577344Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|Informational|['GAEvent', 'Informational']|Additional properties are not allowed ('DisplayFields' was unexpected)
./Data/events.2022.03.30-13.48.39.json|Informational|['GAEvent', 'Informational', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|Informational|['GAEvent', 'Informational', 'RetailSession', 'UTCTimestamp']|'2021-12-17T19:36:31.491274Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|Informational|['GAEvent', 'Informational']|'BusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|Informational|['GAEvent', 'Informational']|'MobileRetailSession' is a required property
./Data/events.2022.03.30-13.48.39.json|Informational|['GAEvent', 'Informational']|'MobileBusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'LoginStatus']|'Invalid Credentials' is not one of ['Successful', 'SystemDown', 'InvalidCredentials', 'UserAccessRestricted', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'RetailSession', 'UTCTimestamp']|'2022-02-14T20:39:15.251542Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'LoginStatus']|'Invalid Credentials' is not one of ['Successful', 'SystemDown', 'InvalidCredentials', 'UserAccessRestricted', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'RetailSession', 'UTCTimestamp']|'2021-12-17T21:02:16.682381Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'LoginStatus']|'Success' is not one of ['Successful', 'SystemDown', 'InvalidCredentials', 'UserAccessRestricted', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'RetailSession', 'UTCTimestamp']|'2021-12-17T21:03:02.249605Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'LoginStatus']|'Success' is not one of ['Successful', 'SystemDown', 'InvalidCredentials', 'UserAccessRestricted', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'RetailSession', 'UTCTimestamp']|'2022-02-14T15:31:45.484852Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'ActivityAttempted']|'Biometric' is not one of ['AccountMgt', 'ACH', 'BillPay', 'CheckImageView', 'Login', 'MFAOptionsChanged', 'PasswordChange', 'RemoteDepositCapture', 'SingleSignOn', 'Transfer', 'UserMgt', 'Wire', 'Other', 'Unknown']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'ChallengeReason']|'WEB' is not one of ['DeviceUnrecognized', 'UserAccessRestricted', 'SystemOrAdminForcedReset', 'UserCausedReset', 'UserPreference', 'ActivityRestricted', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'Common', 'Channel']|'MOBILE' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'MobileRetailSession']|Additional properties are not allowed ('DeviceType', 'PhoneNumber', 'IP6Address' were unexpected)
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'MobileRetailSession', 'UTCTimestamp']|'2022-03-03T15:34:36.892300Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'MobileRetailSession']|Additional properties are not allowed ('DeviceID', 'IPAddress', 'SignOnID', 'IP6Address', 'Cookie', 'UTCTimestamp', 'UserAgentString', 'ImmutableUserID', 'SessionID' were unexpected)
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'MobileRetailSession']|'MobileChannel' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'MobileRetailSession']|Additional properties are not allowed ('DeviceID', 'IPAddress', 'SignOnID', 'DeviceType', 'Cookie', 'IP6Address', 'UTCTimestamp', 'UserAgentString', 'ImmutableUserID', 'PhoneNumber', 'SessionID' were unexpected)
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'State']|'SUCCESS' is not one of ['ChallengeRequested', 'Success', 'FailedAuthentication', 'TimedOut', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'Duration' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'RetailSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'BusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileBusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'LoginStatus']|'User Access Restricted' is not one of ['Successful', 'SystemDown', 'InvalidCredentials', 'UserAccessRestricted', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|Login|['GAEvent', 'Login', 'RetailSession', 'UTCTimestamp']|'2022-03-15T22:03:05.735291Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|DeviceRegistered|['GAEvent', 'DeviceRegistered', 'Common', 'Channel']|'MOBILE' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|DeviceRegistered|['GAEvent', 'DeviceRegistered', 'MobileRetailSession']|Additional properties are not allowed ('DeviceType', 'PhoneNumber', 'IP6Address' were unexpected)
./Data/events.2022.03.30-13.48.39.json|DeviceRegistered|['GAEvent', 'DeviceRegistered', 'MobileRetailSession', 'UTCTimestamp']|'2022-03-07T17:08:22.717956Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|DeviceRegistered|['GAEvent', 'DeviceRegistered', 'MobileRetailSession']|Additional properties are not allowed ('DeviceID', 'IPAddress', 'SignOnID', 'IP6Address', 'Cookie', 'UTCTimestamp', 'UserAgentString', 'ImmutableUserID', 'SessionID' were unexpected)
./Data/events.2022.03.30-13.48.39.json|DeviceRegistered|['GAEvent', 'DeviceRegistered', 'MobileRetailSession']|'MobileChannel' is a required property
./Data/events.2022.03.30-13.48.39.json|DeviceRegistered|['GAEvent', 'DeviceRegistered', 'MobileRetailSession']|Additional properties are not allowed ('DeviceID', 'IPAddress', 'SignOnID', 'DeviceType', 'Cookie', 'IP6Address', 'UTCTimestamp', 'UserAgentString', 'ImmutableUserID', 'PhoneNumber', 'SessionID' were unexpected)
./Data/events.2022.03.30-13.48.39.json|DeviceRegistered|['GAEvent', 'DeviceRegistered', 'Common', 'Channel']|'MOBILE' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|DeviceRegistered|['GAEvent', 'DeviceRegistered', 'MobileRetailSession']|Additional properties are not allowed ('DeviceType', 'PhoneNumber', 'IP6Address' were unexpected)
./Data/events.2022.03.30-13.48.39.json|DeviceRegistered|['GAEvent', 'DeviceRegistered', 'MobileRetailSession', 'UTCTimestamp']|'2022-03-03T15:30:40.653404Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|DeviceRegistered|['GAEvent', 'DeviceRegistered', 'MobileRetailSession']|Additional properties are not allowed ('DeviceID', 'IPAddress', 'SignOnID', 'IP6Address', 'Cookie', 'UTCTimestamp', 'UserAgentString', 'ImmutableUserID', 'SessionID' were unexpected)
./Data/events.2022.03.30-13.48.39.json|DeviceRegistered|['GAEvent', 'DeviceRegistered', 'MobileRetailSession']|'MobileChannel' is a required property
./Data/events.2022.03.30-13.48.39.json|DeviceRegistered|['GAEvent', 'DeviceRegistered', 'MobileRetailSession']|Additional properties are not allowed ('DeviceID', 'IPAddress', 'SignOnID', 'DeviceType', 'Cookie', 'IP6Address', 'UTCTimestamp', 'UserAgentString', 'ImmutableUserID', 'PhoneNumber', 'SessionID' were unexpected)
./Data/events.2022.03.30-13.48.39.json|Informational|['GAEvent', 'Informational']|Additional properties are not allowed ('DisplayFields' was unexpected)
./Data/events.2022.03.30-13.48.39.json|Informational|['GAEvent', 'Informational', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|Informational|['GAEvent', 'Informational', 'RetailSession', 'UTCTimestamp']|'2022-03-29T17:20:31.652384Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|Informational|['GAEvent', 'Informational']|'BusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|Informational|['GAEvent', 'Informational']|'MobileRetailSession' is a required property
./Data/events.2022.03.30-13.48.39.json|Informational|['GAEvent', 'Informational']|'MobileBusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'ChallengeReason']|'Okta Advised' is not one of ['DeviceUnrecognized', 'UserAccessRestricted', 'SystemOrAdminForcedReset', 'UserCausedReset', 'UserPreference', 'ActivityRestricted', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'RetailSession', 'UTCTimestamp']|'2021-12-17T20:05:50.829359Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'State']|'SUCCESS' is not one of ['ChallengeRequested', 'Success', 'FailedAuthentication', 'TimedOut', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'Duration' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'BusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileRetailSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileBusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'ChallengeReason']|'Okta Advised' is not one of ['DeviceUnrecognized', 'UserAccessRestricted', 'SystemOrAdminForcedReset', 'UserCausedReset', 'UserPreference', 'ActivityRestricted', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'RetailSession', 'UTCTimestamp']|'2022-02-22T21:10:55.745063Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'State']|'SUCCESS' is not one of ['ChallengeRequested', 'Success', 'FailedAuthentication', 'TimedOut', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'Duration' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'BusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileRetailSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileBusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'ChallengeReason']|'Okta Advised' is not one of ['DeviceUnrecognized', 'UserAccessRestricted', 'SystemOrAdminForcedReset', 'UserCausedReset', 'UserPreference', 'ActivityRestricted', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'RetailSession', 'UTCTimestamp']|'2022-02-14T20:23:17.976442Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'State']|'SUCCESS' is not one of ['ChallengeRequested', 'Success', 'FailedAuthentication', 'TimedOut', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'Duration' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'BusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileRetailSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileBusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'ChallengeReason']|'Okta Advised' is not one of ['DeviceUnrecognized', 'UserAccessRestricted', 'SystemOrAdminForcedReset', 'UserCausedReset', 'UserPreference', 'ActivityRestricted', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'RetailSession', 'UTCTimestamp']|'2021-12-17T21:03:02.249032Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'State']|'SUCCESS' is not one of ['ChallengeRequested', 'Success', 'FailedAuthentication', 'TimedOut', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'Duration' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'BusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileRetailSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileBusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete', 'DeviceID']|None is not of type 'string'
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete', 'MFAType']|'OTP' is not one of ['Question', 'Image', 'SecurityPhrase', 'Channel', 'Unknown', 'Other']
